doi,title,journal,year,decision,source,decision_source,last_updated
10.3758/bf03201471,fourth and fifth grade norms for verbal items in six categories,Behavior Research Methods {\&} Instrumentation,1975.0,yes,legacy_lab_table,legacy_lab_table,2025-11-25
10.3758/bf03207295,recognitionconfusion of dot matrix vs conventional font capital letters,Perception {\&} Psychophysics,1981.0,yes,legacy_lab_table,legacy_lab_table,2025-11-25
10.3758/s13428-019-01289-z,the influence of place and time on lexical behavior a distributional analysis,Behavior Research Methods,2019.0,no,legacy_lab_table,legacy_lab_table,2025-11-25
10.3758/s13428-019-01282-6,ladec the large database of english compounds,Behavior Research Methods,2019.0,yes,legacy_lab_table,legacy_lab_table,2025-11-25
10.3758/s13428-019-01303-4,lexicosemantic affective and distributional norms for 1000 dutch adjectives,Behavior Research Methods,2019.0,yes,legacy_lab_table,legacy_lab_table,2025-11-25
10.3758/s13428-019-01208-2,clad a corpus derived chinese lexical association database,Behavior Research Methods,2019.0,yes,legacy_lab_table,legacy_lab_table,2025-11-25
10.3758/s13428-019-01295-1,comment on quantifying the informational value of classification images a miscomputation of the infoval metric,Behavior Research Methods,2019.0,no,legacy_lab_table,legacy_lab_table,2025-11-25
10.3758/s13428-019-01287-1,the measurement of interpersonal interactions with continuous spatiotemporal data application to a study of the effects of resource competition on racial group interactions,Behavior Research Methods,2019.0,no,legacy_lab_table,legacy_lab_table,2025-11-25
10.3758/s13428-019-01284-4,a theoretically motivated method for automatically evaluating texts for gist inferences,Behavior Research Methods,2019.0,no,legacy_lab_table,legacy_lab_table,2025-11-25
10.3758/s13428-019-01273-7,online panels in social science research expanding sampling methods beyond mechanical turk,Behavior Research Methods,2019.0,no,legacy_lab_table,legacy_lab_table,2025-11-25
10.3758/s13428-019-01309-y,the importance of being honest evidence that deception may not pollute social science subject pools after all,Behavior Research Methods,2019.0,no,legacy_lab_table,legacy_lab_table,2025-11-25
10.3758/s13428-019-01296-0,the jena speaker set jessa database of voice stimuli from unfamiliar young and old adult speakers,Behavior Research Methods,2019.0,yes,legacy_lab_table,legacy_lab_table,2025-11-25
10.3758/s13428-019-01272-8,recognition times for 62 thousand english words data from the english crowdsourcing project,Behavior Research Methods,2019.0,yes,legacy_lab_table,legacy_lab_table,2025-11-25
10.3758/s13428-019-01261-x,the litkey corpus a richly annotated longitudinal corpus of german texts written by primary school children,Behavior Research Methods,2019.0,yes,legacy_lab_table,legacy_lab_table,2025-11-25
10.3758/s13428-018-1153-1,parallel probability density approximation,Behavior Research Methods,2019.0,no,legacy_lab_table,legacy_lab_table,2025-11-25
10.3758/s13428-019-01288-0,the hoosier vocal emotions corpus a validated set of north american english pseudo words for evaluating emotion processing,Behavior Research Methods,2019.0,yes,legacy_lab_table,legacy_lab_table,2025-11-25
10.3758/s13428-019-01265-7,look whos talking a comparison of automated and human generated speaker tags in naturalistic day long recordings,Behavior Research Methods,2019.0,yes,legacy_lab_table,legacy_lab_table,2025-11-25
10.3758/s13428-019-01297-z,morpholex fr a derivational morphological database for 38840 french words,Behavior Research Methods,2019.0,yes,legacy_lab_table,legacy_lab_table,2025-11-25
10.3758/s13428-019-01271-9,the quantification of gesturespeech synchrony a tutorial and validation of multimodal data acquisition using device based and video based motion tracking,Behavior Research Methods,2019.0,no,legacy_lab_table,legacy_lab_table,2025-11-25
10.1007/s10579-019-09451-x,constructing two vietnamese corpora and building a lexical database,Language Resources and Evaluation,2019.0,yes,legacy_lab_table,legacy_lab_table,2025-11-25
10.1007/s10579-019-09466-4,a hybrid approach for paraphrase identification based on knowledge enriched semantic heuristics,Language Resources and Evaluation,2019.0,no,legacy_lab_table,legacy_lab_table,2025-11-25
10.1007/s10579-019-09465-5,building the first comprehensive machine readable turkish sign language resource methods challenges and solutions,Language Resources and Evaluation,2019.0,yes,legacy_lab_table,legacy_lab_table,2025-11-25
